Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
HDAL_ADF_A_1	26680.811738887103	28058.542578196968	30205.248843396024	31573.087134057205	33366.78049425439	36083.03158585467	38601.92011152029	41076.00368635437	43650.652112253694	47019.47050343715	50008.989460840035	52799.897829816924	55465.62305358398	56986.38225315139	58800.555906937916	60945.45796119346	62304.096303937724	64172.59507002702	65706.32972039265	66654.11783979111	68371.87260619088	69603.92243522857	70179.65292758695	69805.30113834607	70060.11245977152	70209.85063420824	70562.89643635415	70509.5187790725	70413.42816173073	69848.18730610158	69799.25227603027	70153.10958236773	70007.67665441065	69273.50226148932	69099.76765614015	69402.75951933808	68903.01001039041	68664.58571761742	68411.85283802224	67966.42799818012	67553.28907439721	67171.1696402597	66056.05299170148	65075.89766499329	64805.311063617686	64440.509514357705	64138.69424907318	63956.781303789125	63543.420652562214	62677.80921999738	61205.47534593432	60893.67795295883	60641.80317707026	60010.23549863902	59578.573580977594	59289.86950111782	59138.74239246177	58678.79951274138	57958.636414266264	57496.08943427791	56841.38411413212	56643.47459240756	56329.962088116525	55915.897628784915	55235.52084613948	53671.63894990234	52289.49964534134	51377.91011204896	50576.607160645945	49916.117749874276	49513.604291704316	48657.80194169707	47978.85623266463	47095.78326878516	45879.46912540938	44412.78349943625	43497.41530155506	42986.97487331251	42563.67656007597	41938.4154017701	40832.57174510316	39852.73089248204	38822.361158251595	37682.99425576799	36305.37873149694	34685.02461722977	32826.21950435511	31381.86731745193	29839.589656978136	28469.4535920975	26823.62403112507	24627.527844701268	21525.031727232225	19016.598374733963	16992.73774667758	14077.809230606756	10960.579396633782	7496.981243250282	4489.969702324644	1562.2707456751727
HDAL_ADF_A_18	29737.478374244492	31033.572600700812	32521.446607842463	33864.12335925447	35866.81499989397	39262.91682888234	42330.6543197834	45526.10739308772	49353.13412008786	54083.71443322721	58811.900164769395	63407.008825904515	68073.57252554761	70774.41372309759	74175.0022822507	77811.57031394256	79806.3217973156	82610.67801236005	85256.41322324645	87263.10584851186	90216.62026604264	92768.16472554301	94062.65879911528	94359.35726327563	95538.9244609964	96262.94227634228	97264.07452251889	97871.17158576561	98800.35514158805	99588.3119865814	100632.27977656489	102649.84117952843	103316.96024253593	103639.54292762662	104180.15984246522	104887.62926323245	104381.9821481186	105172.4076895856	105328.47736883245	105349.19589338238	105149.03762297769	105373.96957772522	104686.42305358693	103653.79131344275	103427.80844037561	102757.16203009537	102222.91962584932	101932.70690507373	101401.50667860122	100846.22501778342	99629.9016733414	99388.66268107874	98829.14513732193	98129.5817812562	97559.2467799788	97173.03407131815	96751.7530845664	96154.59027106407	95737.83248589105	95759.44747608021	95367.6218105493	94918.67609931894	94309.55971420676	93633.34387704857	93249.86603236615	91431.36711297889	89467.88579602668	88067.60703041495	86825.57223769568	86364.45847538413	85914.51297379348	85230.96437276245	83219.29417099655	82137.14567841901	79901.59540542864	77317.56171870418	75592.66236721314	74532.36838843937	73672.81962128247	72368.55390637321	70373.28180344765	68238.46315647806	66113.66264312556	64855.85048667616	62833.81079860943	59744.291153728125	56565.33978629573	53806.866649123454	50886.01067298689	48083.33428877976	45051.57695504387	41236.18078235607	36090.61782091817	31998.103968114552	28964.964829576013	24441.28953744652	18914.472773899284	12862.720069277259	7416.903109030723	2597.2215511864524
HDAL_ADF_A_3	28937.608760667725	30321.416837644083	32323.85584291993	33808.777547377846	35911.5980128552	39061.58380097884	42125.56629411715	45252.15068735418	48274.04570229486	52254.157326934146	56068.20195161103	59805.90042871553	63358.45912928828	65637.42417891874	68324.29183402724	71207.14781554343	72905.40296771016	75316.66122697479	77278.54145805228	78642.54302606669	80854.73445684164	82603.13926219546	83491.46355461431	83421.23682170686	84194.555703777	84872.3085678069	85593.22888439777	85942.54518994711	86326.46039833306	86315.45565395211	86695.59337129006	87659.55714312056	87824.1113070943	87510.58763872298	87750.48594449514	88320.73000252941	87886.28694106753	88124.26011339146	88009.80746267897	87586.7960476407	86990.19775578167	86818.41406357285	86014.3989442288	85305.32171310093	85153.00791874508	84585.0800757338	83983.03114773848	83626.51178534866	83109.3622390913	82459.90968083827	81463.43649090758	81286.59839970538	80781.9330813544	80194.41671444889	79716.77234539183	79283.09946588578	79096.06059033572	78397.0717123042	77636.72316297714	77378.18279419439	76610.84097302792	76153.2516833397	75698.06958763541	74993.43941432207	74083.12545723321	72257.36371150502	70557.08626617288	69225.7832915004	68130.12185014406	67520.85636759612	67064.18234351804	66024.08933433045	64701.43913882245	63381.67167672528	61739.894104169245	59646.20457217545	58309.99997004909	57662.62408104012	57045.05072711022	56112.240345782564	54519.38623683238	53278.46053160928	51938.27171272806	50469.200966849196	48580.47799606405	46287.84515669785	43839.28960573968	41902.02320467281	39899.975948284664	38124.524603043945	35648.71737906521	32593.918798746174	28435.274718887445	25159.676306846904	22553.820817912863	18837.60245703711	14792.042970871917	10443.127767286602	6231.679551791031	2069.2976293298398
HDAL_ADF_H_1	28271.931215005436	33530.90783330932	38766.394696288735	40511.12460189281	42917.28541749194	45018.008384344255	46143.48283607059	47085.34681873282	49040.00454159376	51222.70340983569	52816.1520633006	57551.22125972637	60260.432439095785	61791.194625118675	63355.73857974319	65163.89647245781	66285.09446068169	67153.08951225581	68564.85575916326	69592.63425653816	70882.0870494942	72495.5028092892	73444.20213722654	73285.26902366236	73692.03748957075	73989.1258688198	74332.72386745224	74629.05425115934	74669.84203936592	74292.74960999477	74366.50829424626	73321.69708921472	74053.38478456171	74563.17918176178	75567.54743937032	76438.83469651794	76309.85893835359	75419.36402412251	74911.8637432768	74589.82375271736	74015.72704356592	73783.62917457319	73163.79271720165	72485.23375219616	72579.24970284684	72219.14139174821	71357.08061852978	70651.04282812067	69924.71586824402	67513.53307111637	66246.20127106487	66005.73970932918	65718.8121071876	65310.679909822065	65192.539582404585	64837.94134547097	64375.31456878599	64004.67052808705	63548.51848539165	63662.20048516575	63678.29946245194	64037.34997551941	63920.32498966618	63338.63957541587	62133.117575888326	60897.066207934615	59778.946529032444	58593.835041411905	57694.4323371878	57261.94399906582	56673.331451994185	56118.0386379322	55528.26984535218	54673.48349601539	53900.617248139446	53044.47860054324	52336.66837238974	51708.37626505194	51577.22121618583	50964.52529855772	49735.98662944052	48535.089620588646	46863.885822231256	45629.7124551588	42259.13405103012	39444.22059816741	37586.68180215332	36083.13843901983	34689.251827455	33076.74907127249	31287.466090622787	28966.882193309124	26147.552903812208	23939.70314558405	20761.66787832063	16283.301791689748	12874.875134984624	8389.59006672141	4473.596485228501	1479.7862276649769
HDAL_ADF_H_18	32735.65324922374	40471.32587162883	48464.35515625153	49974.189602676	53135.539049161336	55128.036629362585	53113.46620289091	52093.128035842026	53699.80673847088	55328.02989182703	57134.430432529545	60738.47058437899	63958.31553580148	64553.49538512533	65488.18945173425	66673.40920217009	67153.85370676249	67204.59152929734	67184.18033037486	68226.90250120731	70484.9517407156	70493.71256274093	71455.04136328917	70143.58432860051	69820.78873592682	69467.37354948	68429.29890577769	68408.76810505042	67432.25572156609	66470.83179112274	66271.67023972662	66207.33126458696	66816.08570944537	66750.85717598585	66691.0667852461	66665.82645556831	66596.54123003263	65889.33732688187	66802.42849692378	66957.0772253974	66260.92753887347	66295.0894382341	64618.23198882582	64359.431189427116	64851.590997404535	64518.50354234558	62612.74167503019	62010.49919791416	60922.39279739019	55451.82179511086	53738.786485545825	53037.75843924029	52579.238295377	51685.29320139724	51264.65617555826	50377.253326208265	49855.44274194656	49524.89159125799	48945.661697628115	49323.26749159831	49659.95637191935	49330.81667128745	48774.17943098966	47408.13554083793	46143.5550045206	45062.1261235272	44065.42665875714	42647.6314484796	41494.028159345275	40681.934109780836	40150.56510910478	40038.700072389736	39556.19542510873	38782.22253176782	38052.63773079458	37898.65011462468	37060.049193077844	36829.00777945191	36646.43445902416	36400.55132011221	35198.56669486955	34196.236613974375	33377.00153925288	32465.430382837807	30282.217496415724	27794.105005741738	26204.8701089754	25302.38813092053	24714.140315692504	24111.423078602944	23199.35289318299	22139.505627843217	20379.553162719378	19005.385435249947	16304.554587015564	12909.561849983	10498.047567613692	6790.504238172024	3674.3588192255584	1137.2917205297563
HDAL_ADF_H_3	36589.16798208534	46130.147975875305	56294.2546413055	57683.90254648508	60794.414010544475	62835.40479824411	59645.995995294776	57673.55252692435	59258.03775416721	60787.1694765275	61861.16827954187	65062.38512138048	68869.2530871611	70141.73622088798	71662.28376555345	72977.23251117553	73824.88300827057	73977.49142306035	74081.94701096331	75463.80836799619	77433.9943831084	75866.59039839263	76278.26131645666	75210.92278808272	74810.52776925612	74527.7771412187	73842.63062048695	73796.75807165337	72597.63763239613	71490.91969266694	71163.70809563529	71169.44736947582	72004.62740912895	72025.02535367443	72293.57113936161	72680.32905448825	72398.05583080846	71478.58160698424	71768.11892901879	71758.99567271136	71227.91704891216	71367.0792495109	69781.08726639472	69352.94681332933	69817.49542734982	69491.03937003216	68209.4629135267	67900.00824025732	66852.0075500289	61430.28430886891	59693.33533764533	58880.67768927608	58343.62019420861	57268.45724259824	56771.357878401475	55832.59790267753	55376.64473774785	54960.92412675689	54415.166306091356	54798.43310347346	55153.69613639835	54679.03408484498	54021.82813979929	52555.219341368225	51183.327820202205	49803.7365457527	48430.12955772884	46972.47294013067	46087.11991148432	45418.480523675426	45276.645130742545	45406.58922687839	44940.371407367136	43881.65751612307	42846.86084400908	42330.34284503173	41282.52732010859	40856.27280731946	40621.08682886907	40207.999101245725	38632.278028025	37307.938739980724	36186.5929143145	35027.480438945015	32820.42642508558	30410.456086995633	28815.751118118817	28258.11407069299	27580.400331362333	26797.585519555945	25789.78767926216	24789.554060014223	22938.68923120981	21337.955603470306	18264.675263006226	14157.707230723574	11423.819804217012	7401.077968915771	3961.4784146680213	1336.4726804023098
HDAL_ADM_A_1	24203.995101560173	25740.59890804458	26769.047720952523	27338.294648876574	28771.41555788566	31272.931219830163	35733.85519868033	38523.84386252614	41069.8869638642	44436.338216481134	47810.561277137545	51178.685684345255	54685.29429095238	55868.81106099211	56828.67066532168	59890.53857215449	61531.685003081504	63805.56625458155	65944.55031089489	67488.83653338782	69794.27013822683	72893.91638581503	74949.66018414541	75657.14157392032	76774.54279072168	77566.51399674927	76189.32050194805	74868.2437659353	75324.80485422602	75320.71270272814	75779.43104396093	76780.00512257036	77085.04619213055	77265.10358717699	79784.40389482968	82596.57206877808	82523.36751032686	82682.66368765452	82601.27838136347	82150.44210662664	81820.5823803015	81612.20289807915	80851.92754976013	80217.24876399842	80154.60744570955	79730.03388162742	79345.97515033523	79152.41171428734	78758.56652342672	78322.70739917915	77590.30509657299	77525.4325164256	77381.34988318018	76775.61219057016	76507.12760314278	76386.99858716942	76256.60353761032	75663.34593558403	74822.32635993871	74839.64552844538	74364.2260534612	74125.11679695328	73758.62729984694	73269.25645039741	72453.75923103475	70905.99210273112	69245.7611862896	67767.1639545273	67005.60954846119	66503.69574252085	66201.03450476113	65377.35724137629	63047.370264675585	61323.509835539786	59495.93058162624	57525.69703906211	56372.995956056126	55725.00808932754	55027.485636150246	54130.679370355174	52403.54884214632	50917.30358944452	49186.02199728379	47087.568163537115	44886.37196165482	42605.61634464998	40198.932916841935	38206.488142322414	36229.64610816883	34462.40873163809	32062.97147495867	28858.908806714302	24291.634295115036	20792.595755958508	18612.15112211874	15365.291196204385	11942.973054111051	8365.52374703904	5227.020608511507	1853.5420525105417
HDAL_ADM_A_18	30726.515666601445	33942.65288509516	36860.890118956595	38829.351353661514	41461.42370901611	44728.04450822744	49319.17729818041	52817.20020173624	56029.45155648065	59639.47744381004	62984.275923373716	66213.1980353524	69283.66353942415	70157.60698526459	71001.35773502204	73616.30231937669	75157.32324270827	76910.8074286262	78329.04758551127	79337.04667303765	80977.91108232019	83564.59965989034	85090.23187450567	85754.30498917073	86404.04815011812	86882.59438743767	84961.44935504555	82722.67868730478	82973.00098833765	82759.62132935271	82960.71393607337	83582.08517371523	83317.07423158396	82916.21259751452	85032.17657121253	87175.60981244256	87119.45239126218	87108.56662717069	87023.43262908325	86469.86322493161	86025.17355793703	85748.60665834046	84418.98713055692	83286.1926693271	82937.32089589407	82302.55233483553	81865.09098706077	81647.30045686998	81249.2000685578	80396.66434956013	79017.04441583673	78563.57322467185	78146.12182924521	77195.96449514806	76559.60676788332	75941.43130395416	75519.42045183755	74862.35955094485	74055.98310483624	73382.97730675308	72714.17418091648	72556.40224709404	72213.76772961003	71741.52375514628	70852.2963323205	69242.68223490748	67759.23420965031	66782.32843298992	65701.6980409923	65095.99303019981	64686.37873394968	63658.26271131061	61655.320659291465	60125.26352728183	58428.11615412581	56900.8339256274	55875.50134026828	55136.03267182589	54527.29883747959	53582.43693514196	52086.110940728526	50806.34850624743	49517.04649617357	46889.07211733715	44192.70384031707	42284.186922420384	40067.8931130557	38110.65611714655	36351.425259568714	34779.981712084744	32725.085568985374	29749.56415393041	25705.837728160546	22413.09772067234	19851.48603461872	16401.547442041774	12579.902058910375	8480.170546816355	5079.39262753507	1747.5582342097516
HDAL_ADM_H_1	30716.305825747902	37655.30692837069	44764.96469985951	46192.42106488286	48784.832248762425	50459.15307161304	48891.17187941247	48129.844964453376	49754.2346380759	51453.67836392606	53070.82557562687	56529.43891487565	59662.33992783715	60222.51757641903	61030.65981992659	62148.68432938093	63094.71356991221	63455.490968046564	63694.22683633354	65033.46771973118	67161.18622409023	67693.63133849904	68718.86764052548	67463.02465594129	67190.40709414969	66861.33148734205	66207.6190053491	66289.09715009444	65163.503889052845	63829.1511309642	63713.578653897246	63764.2523612494	64462.53986485183	64649.6389343112	64786.440023998905	65028.10859833474	64992.786810725556	64541.26535901054	65461.12182942994	65552.09430576811	65211.82614016498	65367.565242221914	63672.712018861115	63251.71671301667	63765.397819765545	63441.601990027375	62424.67169971764	62386.048740029284	61631.422752354636	56447.837668810476	54949.38459944187	54137.28633758689	53813.57585601504	52945.78580449797	52872.04063101394	52325.14696329414	51869.62978235449	51586.160270801105	51245.42089658894	51581.63989489427	51875.21086093808	51741.684013238366	51348.54256485219	50098.27429637533	48855.128248809015	47685.36092752114	46655.474270860796	45211.172889078465	44393.47355795286	43582.61783725514	43536.95311995395	43955.12954402063	43600.91687361616	42715.22937839301	41882.90558899128	41644.36227134323	40732.10363343703	40348.27877079301	40092.22913354953	39651.95704661412	38115.46166045522	36939.216585730566	35935.01561988047	34770.932023174	32559.606983964426	30015.448093366875	28428.048568287235	27614.803772373543	26800.51193945649	25765.82900003932	24518.850911598238	23467.329109962066	21623.579816719364	20191.99477734819	17350.25670961019	13437.036723003634	10664.875997375657	6951.854557366008	3852.1534018551433	1302.953394593781
HDAL_ADM_H_18	21045.00847251138	25155.07896275148	29207.00257219556	30195.699858730975	32104.667199167936	33657.16153534814	34346.780751438884	34946.77807503391	36217.6966951659	37990.08764626222	39437.27093066338	43631.9076622772	45966.835867700385	47210.81427253752	48316.47424921886	49977.52495593122	50992.62219419234	51554.650992111885	52471.20372773833	53357.37572002062	54559.64951141998	56505.16390825216	57683.347253785396	57643.90962343475	58032.34354416103	58337.310624279715	58812.217340182666	59238.97699538282	59389.80115062856	59150.22196384046	59403.285833659276	58800.00261807755	59575.5175196133	60412.645130455014	61598.06789991748	62456.659885181565	62483.786577547064	61680.04107235257	61513.42682594582	61541.03015458703	61171.00761386292	61120.76629621949	60584.324645501845	60137.0931400095	60356.797506205614	60246.21984883949	59823.14341405966	59369.97863522907	58791.64868798597	56914.26281824887	55786.12801959493	55743.78585244085	55724.321789568836	55428.04400866001	55389.96085777637	55176.39624594369	54915.38944706767	54666.728601894654	54503.319372029575	54757.42334059027	54973.46156439963	56697.31606153922	57145.94564306314	56840.27248451455	55835.39640245719	54803.37545130619	53784.593424936065	52483.52741124942	51716.88066241038	51298.89943350817	50703.884483386886	50330.06976546912	49967.723945557336	49423.62910855786	49121.68937099389	48622.15470292792	48125.75824001669	48063.71065136212	48335.04257316685	48305.3400446599	47321.59094419342	46235.33118268056	44711.69910203819	43609.07078971151	39441.62363840252	35935.550116249564	34307.192301371055	33198.7710805929	32000.11639320173	30494.45660512572	28878.23377392216	27188.40515331203	24545.10767310151	22720.390917310975	19664.85518137684	15076.739566512995	11839.146159368413	7987.436059131476	4431.691705510013	1429.460939481829
