Sample	LR999924.1	LR999925.1	LR999926.1	LR999927.1	LR999928.1	LR999929.1	LR999930.1	LR999931.1	LR999932.1	LR999933.1	LR999934.1	LR999935.1	LR999936.1	LR999937.1	LR999938.1	LR999939.1	LR999940.1	LR999941.1	LR999942.1	LR999943.1	LR999944.1	LR999945.1	LR999946.1	LR999947.1	LR999948.1	LR999949.1	LR999950.1	LR999951.1	LR999952.1	LR999953.1	LR999954.1	LR999955.1	*
HDAL_ADF_A_1	[1890831, 17040296]	[4154683, 16607008]	[3323283, 16362069]	[2500643, 16090551]	[2574143, 16000791]	[2146840, 15952094]	[2636585, 15715213]	[2992728, 15572524]	[2344975, 15426761]	[1972679, 15296561]	[2059431, 14945938]	[2526960, 14868897]	[2772245, 14774369]	[2331629, 14615999]	[1910954, 14605406]	[1364727, 13916383]	[73868, 13819298]	[2257107, 13774036]	[3488609, 13550656]	[3836125, 13236624]	[901898, 12933853]	[1708912, 12861081]	[1188890, 12594674]	[1318869, 11704087]	[925147, 11326783]	[1438535, 11199261]	[812755, 9960137]	[512616, 9839934]	[1224319, 8262369]	[1387061, 8178468]	[865454, 7379297]	[670077, 6166334]	[0, 0]
HDAL_ADF_A_18	[2480779, 17040296]	[6479584, 16607008]	[4999504, 16362069]	[3003027, 16090551]	[3960583, 16000791]	[2908030, 15952094]	[3005117, 15715213]	[4296073, 15572524]	[3719617, 15426761]	[2685637, 15296561]	[3786694, 14945938]	[3368350, 14868897]	[3302717, 14774369]	[2809497, 14615999]	[2543980, 14605406]	[1775448, 13916383]	[138730, 13819298]	[3196737, 13774036]	[4114267, 13550656]	[4126965, 13236624]	[1133708, 12933853]	[2115322, 12861081]	[1538607, 12594674]	[1475048, 11704087]	[1167755, 11326783]	[2047360, 11199261]	[3792541, 9960137]	[714331, 9839934]	[1353933, 8262369]	[2577994, 8178468]	[1172924, 7379297]	[866333, 6166334]	[0, 0]
HDAL_ADF_A_3	[2429399, 17040296]	[5544577, 16607008]	[4501816, 16362069]	[2767313, 16090551]	[3290826, 16000791]	[2628463, 15952094]	[3131390, 15715213]	[3944060, 15572524]	[3043879, 15426761]	[2590306, 15296561]	[2978323, 14945938]	[3100466, 14868897]	[3311396, 14774369]	[3090272, 14615999]	[2366201, 14605406]	[1787299, 13916383]	[58831, 13819298]	[2851379, 13774036]	[3958107, 13550656]	[4426500, 13236624]	[1123612, 12933853]	[2141576, 12861081]	[1507390, 12594674]	[1313414, 11704087]	[1168049, 11326783]	[1827949, 11199261]	[1177008, 9960137]	[644052, 9839934]	[1221865, 8262369]	[2007223, 8178468]	[1112351, 7379297]	[945278, 6166334]	[0, 0]
HDAL_ADF_H_1	[4182398, 17040296]	[4718476, 16607008]	[7085513, 16362069]	[3066574, 16090551]	[2811100, 16000791]	[2688330, 15952094]	[8603408, 15715213]	[4680736, 15572524]	[2917950, 15426761]	[2825099, 15296561]	[2659194, 14945938]	[3112984, 14868897]	[2781970, 14774369]	[2221877, 14615999]	[2307017, 14605406]	[2528222, 13916383]	[25114, 13819298]	[3868050, 13774036]	[3101475, 13550656]	[7056395, 13236624]	[1305179, 12933853]	[2400608, 12861081]	[1913037, 12594674]	[1082367, 11704087]	[1301777, 11326783]	[1469097, 11199261]	[1398359, 9960137]	[842038, 9839934]	[1455584, 8262369]	[1309057, 8178468]	[827181, 7379297]	[640485, 6166334]	[0, 0]
HDAL_ADF_H_18	[4022453, 17040296]	[4151336, 16607008]	[6158686, 16362069]	[2489590, 16090551]	[2845304, 16000791]	[2107374, 15952094]	[8892371, 15715213]	[3868025, 15572524]	[2555033, 15426761]	[2386003, 15296561]	[1977366, 14945938]	[3155875, 14868897]	[2607275, 14774369]	[1932085, 14615999]	[2095355, 14605406]	[1812073, 13916383]	[37661, 13819298]	[3867406, 13774036]	[2448928, 13550656]	[3734499, 13236624]	[1209196, 12933853]	[2274793, 12861081]	[1719088, 12594674]	[968451, 11704087]	[1131918, 11326783]	[1202913, 11199261]	[1329333, 9960137]	[737616, 9839934]	[1026249, 8262369]	[1060135, 8178468]	[628908, 7379297]	[567821, 6166334]	[0, 0]
HDAL_ADF_H_3	[4145462, 17040296]	[4506578, 16607008]	[6998158, 16362069]	[2624992, 16090551]	[2995507, 16000791]	[2488782, 15952094]	[9659312, 15715213]	[4485882, 15572524]	[2790474, 15426761]	[2925275, 15296561]	[2393623, 14945938]	[3252887, 14868897]	[2797919, 14774369]	[2059961, 14615999]	[2267259, 14605406]	[2128410, 13916383]	[36704, 13819298]	[3580805, 13774036]	[2658733, 13550656]	[4443460, 13236624]	[1318751, 12933853]	[2388571, 12861081]	[1947406, 12594674]	[1083543, 11704087]	[1211994, 11326783]	[1296588, 11199261]	[1470177, 9960137]	[878715, 9839934]	[1198912, 8262369]	[1177666, 8178468]	[781873, 7379297]	[656464, 6166334]	[0, 0]
HDAL_ADM_A_1	[2245442, 17040296]	[4664871, 16607008]	[7705616, 16362069]	[2263580, 16090551]	[2816509, 16000791]	[3711956, 15952094]	[2649689, 15715213]	[3134650, 15572524]	[2038491, 15426761]	[3067911, 15296561]	[1887925, 14945938]	[2494446, 14868897]	[2428684, 14774369]	[2458468, 14615999]	[1743893, 14605406]	[1426102, 13916383]	[87386, 13819298]	[1845036, 13774036]	[3540519, 13550656]	[3707556, 13236624]	[1260746, 12933853]	[2786841, 12861081]	[8148062, 12594674]	[1323070, 11704087]	[907551, 11326783]	[3533854, 11199261]	[721088, 9960137]	[3932700, 9839934]	[1285122, 8262369]	[1479954, 8178468]	[959218, 7379297]	[1474216, 6166334]	[0, 0]
HDAL_ADM_A_18	[3071130, 17040296]	[5211047, 16607008]	[6844179, 16362069]	[2770659, 16090551]	[3476470, 16000791]	[3746295, 15952094]	[2912252, 15715213]	[3875124, 15572524]	[2797321, 15426761]	[3169271, 15296561]	[2713973, 14945938]	[3303313, 14868897]	[3516291, 14774369]	[2900840, 14615999]	[2605796, 14605406]	[1933902, 13916383]	[33630, 13819298]	[2646588, 13774036]	[4548394, 13550656]	[4825845, 13236624]	[1263242, 12933853]	[3116084, 12861081]	[7171978, 12594674]	[1528500, 11704087]	[1322279, 11326783]	[3172928, 11199261]	[1099770, 9960137]	[8237810, 9839934]	[1785183, 8262369]	[1826097, 8178468]	[1181139, 7379297]	[1566144, 6166334]	[0, 0]
HDAL_ADM_H_1	[4254373, 17040296]	[4208133, 16607008]	[6573496, 16362069]	[2404616, 16090551]	[3170255, 16000791]	[2266222, 15952094]	[8630062, 15715213]	[4057003, 15572524]	[2757358, 15426761]	[2755102, 15296561]	[2117625, 14945938]	[3458171, 14868897]	[2828216, 14774369]	[2139689, 14615999]	[2385176, 14605406]	[2004987, 13916383]	[46988, 13819298]	[3176436, 13774036]	[2525100, 13550656]	[3629534, 13236624]	[1333557, 12933853]	[2636474, 12861081]	[1971562, 12594674]	[1151727, 11704087]	[1247643, 11326783]	[1262749, 11199261]	[1431534, 9960137]	[812690, 9839934]	[1026003, 8262369]	[1204236, 8178468]	[668596, 7379297]	[571513, 6166334]	[0, 0]
HDAL_ADM_H_18	[3798385, 17040296]	[3992207, 16607008]	[7234313, 16362069]	[2311633, 16090551]	[2671087, 16000791]	[2260917, 15952094]	[8972354, 15715213]	[3783701, 15572524]	[2457525, 15426761]	[2482622, 15296561]	[2108771, 14945938]	[2966315, 14868897]	[2467720, 14774369]	[2027551, 14615999]	[2051514, 14605406]	[2046149, 13916383]	[25103, 13819298]	[3148700, 13774036]	[2693944, 13550656]	[5171336, 13236624]	[1116051, 12933853]	[2176018, 12861081]	[1781096, 12594674]	[1084037, 11704087]	[1217362, 11326783]	[1319520, 11199261]	[1245191, 9960137]	[676420, 9839934]	[1184840, 8262369]	[1244969, 8178468]	[658599, 7379297]	[521539, 6166334]	[0, 0]
