NGI ID	User ID	Mreads	>=Q30
P20253_101	X1 HDAL III H	47.64	94.77
P20253_102	X1 HDAL III A	27.40	94.41
P20253_103	X3 HDAL III H	42.67	94.22
P20253_104	X3 HDAL III A	26.60	93.53
P20253_105	X4 HDAL III H	30.47	93.41
P20253_106	X4 HDAL III A	45.44	94.46
P20253_107	X18 HDAL III H	41.88	94.53
P20253_109	X1 HDAL V H	62.65	94.35
P20253_110	X1 HDAL V A	34.71	95.05
P20253_111	X3 HDAL V H	34.47	94.16
P20253_112	X3 HDAL V A	47.46	93.69
P20253_113	X4 HDAL V H	42.61	94.16
P20253_114	X4 HDAL V A	46.35	94.94
P20253_115	X18 HDAL V H	47.98	94.86
P20253_116	X18 HDAL V A	42.62	94.74
P20253_117	X1 HDLI III H	57.01	94.01
P20253_118	X1 HDLI III A	61.18	94.78
P20253_119	X3 HDLI III H	42.51	93.45
P20253_120	X3 HDLI III A	68.98	94.01
P20253_121	X4 HDLI III H	30.20	93.65
P20253_122	X4 HDLI III A	32.38	93.81
P20253_123	X18 HDLI III H	32.78	93.92
P20253_124	X18 HDLI III A	31.29	93.70
P20253_125	X1 HDLI V H	22.56	93.78
P20253_126	X1 HDLI V A	33.04	94.63
P20253_127	X3 HDLI V H	32.59	93.85
P20253_128	X3 HDLI V A	60.87	93.55
P20253_129	X4 HDLI V H	33.47	93.59
P20253_130	X4 HDLI V A	37.54	94.47
P20253_131	X18 HDLI V H	31.45	94.26
P20253_132	X18 HDLI V A	33.28	93.70
P20253_133	X1 LDAL III H	32.00	94.16
P20253_134	X1 LDAL III A	28.86	93.82
P20253_135	X3 LDAL III H	35.87	93.94
P20253_136	X3 LDAL III A	31.71	94.28
P20253_137	X4 LDAL III H	35.43	93.93
P20253_138	X4 LDAL III A	30.56	94.15
P20253_139	X18 LDAL III H	25.70	94.21
P20253_140	X18 LDAL III A	31.49	94.13
P20253_141	X1 LDAL V H	33.61	93.95
P20253_142	X1 LDAL V A	38.37	94.33
P20253_143	X3 LDAL V H	33.90	93.99
P20253_144	X3 LDAL V A	37.01	94.40
P20253_145	X4 LDAL V H	36.54	94.21
P20253_146	X4 LDAL V A	37.79	94.75
P20253_147	X18 LDAL V H	38.47	93.63
P20253_148	X18 LDAL V A	39.38	93.85
P20253_149	3 AL ADF H	38.60	94.39
P20253_150	3 AL ADF A	40.43	93.95
P20253_151	7 AL ADF H	38.73	93.92
P20253_152	7 AL ADF A	33.49	93.95
P20253_153	9 AL ADF H	41.03	94.08
P20253_154	9 AL ADF A	47.77	94.20
P20253_155	11 AL ADF H	38.84	93.94
P20253_156	11 AL ADF A	35.98	93.93
P20253_158	19 AL ADF A	36.91	93.51
P20253_159	8 LI ADF H	41.18	93.52
P20253_160	8 LI ADF A	42.20	94.20
P20253_161	10 LI ADF H	44.01	93.82
P20253_162	10 LI ADF A	44.43	93.93
P20253_163	12 LI ADF H	40.05	94.16
P20253_164	12 LI ADF A	44.17	94.00
P20253_165	14 LI ADF H	32.21	94.02
P20253_166	14 LI ADF A	45.04	94.09
P20253_167	16 LI ADF H	42.48	92.55
P20253_168	16 LI ADF A	43.27	93.76
