"Category"	"Dmelanogaster"	"Mouse"	"Cfamiliaris"	"Arabidopsis"	"Human"	"Scerevisiae"	"Ecoli"	"Tuberculosis"	"PhiX"	"Multiple Genomes"	"No hits"
"X1 HDAL III H_S73_L002_R1_001_BHCYNTDSX2_screen"	3016	424	354	215	403	95	0	0	0	4181	191478
"X1 HDAL III H_S73_L002_R2_001_BHCYNTDSX2_screen"	2986	505	371	192	367	123	0	0	0	6045	189577
"X1 HDAL III A_S74_L002_R1_001_BHCYNTDSX2_screen"	1812	376	281	315	311	135	0	0	0	3731	193059
"X1 HDAL III A_S74_L002_R2_001_BHCYNTDSX2_screen"	1747	522	384	294	353	133	0	0	0	7009	189578
"X3 HDAL III H_S75_L002_R1_001_BHCYNTDSX2_screen"	3978	589	399	204	514	99	1	0	0	5716	188848
"X3 HDAL III H_S75_L002_R2_001_BHCYNTDSX2_screen"	4046	656	413	192	495	101	1	0	0	9343	185101
"X3 HDAL III A_S1_L001_R1_001_BHCYNTDSX2_screen"	2549	438	360	285	362	158	2	0	0	4007	191850
"X3 HDAL III A_S1_L001_R2_001_BHCYNTDSX2_screen"	2767	541	436	260	287	164	1	0	0	6525	189030
"X4 HDAL III H_S2_L001_R1_001_BHCYNTDSX2_screen"	2054	434	342	314	392	119	1	0	0	3921	192866
"X4 HDAL III H_S2_L001_R2_001_BHCYNTDSX2_screen"	2229	584	483	276	316	146	0	2	0	7430	188977
"X4 HDAL III A_S76_L002_R1_001_BHCYNTDSX2_screen"	2834	494	399	263	483	82	1	0	0	3572	192056
"X4 HDAL III A_S76_L002_R2_001_BHCYNTDSX2_screen"	2767	585	436	221	430	93	1	0	0	6718	188933
"X18 HDAL III H_S77_L002_R1_001_BHCYNTDSX2_screen"	1848	412	273	303	301	118	0	0	0	2476	194632
"X18 HDAL III H_S77_L002_R2_001_BHCYNTDSX2_screen"	1888	447	396	274	308	98	0	0	0	5125	191827
"X1 HDAL V H_S78_L002_R1_001_BHCYNTDSX2_screen"	1984	436	311	336	388	102	3	0	0	3165	193421
"X1 HDAL V H_S78_L002_R2_001_BHCYNTDSX2_screen"	2098	564	372	365	460	121	1	0	0	5767	190398
"X1 HDAL V A_S79_L002_R1_001_BHCYNTDSX2_screen"	1046	250	170	225	230	97	3	1	0	1788	195662
"X1 HDAL V A_S79_L002_R2_001_BHCYNTDSX2_screen"	1030	301	227	231	231	99	6	1	0	4238	193108
"X3 HDAL V H_S80_L002_R1_001_BHCYNTDSX2_screen"	1922	361	241	245	320	83	0	0	0	2781	194467
"X3 HDAL V H_S80_L002_R2_001_BHCYNTDSX2_screen"	1887	450	352	221	339	95	0	0	0	5375	191701
"X3 HDAL V A_S81_L002_R1_001_BHCYNTDSX2_screen"	1190	285	188	261	242	90	0	0	0	2931	195065
"X3 HDAL V A_S81_L002_R2_001_BHCYNTDSX2_screen"	1220	459	428	230	290	131	0	0	0	8797	188697
"X4 HDAL V H_S82_L002_R1_001_BHCYNTDSX2_screen"	1907	325	285	298	341	131	0	0	0	2775	193987
"X4 HDAL V H_S82_L002_R2_001_BHCYNTDSX2_screen"	1951	464	375	275	325	109	0	0	0	5524	191026
