"Category"	"Top over-represented sequence"	"Sum of remaining over-represented sequences"
"X1 HDAL III H_S73_L002_R1_001_BHCYNTDSX2"	0	0
"X1 HDAL III H_S73_L002_R2_001_BHCYNTDSX2"	0.33650076775231624	0
"X1 HDAL III A_S74_L002_R1_001_BHCYNTDSX2"	0	0
"X1 HDAL III A_S74_L002_R2_001_BHCYNTDSX2"	0.7575206592811243	0
"X3 HDAL III H_S75_L002_R1_001_BHCYNTDSX2"	0	0
"X3 HDAL III H_S75_L002_R2_001_BHCYNTDSX2"	0.5890968298153596	0
"X3 HDAL III A_S1_L001_R1_001_BHCYNTDSX2"	0	0
"X3 HDAL III A_S1_L001_R2_001_BHCYNTDSX2"	0.41733225981338107	0.45958162043421014
"X4 HDAL III H_S2_L001_R1_001_BHCYNTDSX2"	0	0
"X4 HDAL III H_S2_L001_R2_001_BHCYNTDSX2"	0.654247349689714	0.5283389025690955
"X4 HDAL III A_S76_L002_R1_001_BHCYNTDSX2"	0	0
"X4 HDAL III A_S76_L002_R2_001_BHCYNTDSX2"	0.7290898102243341	0
"X18 HDAL III H_S77_L002_R1_001_BHCYNTDSX2"	0	0
"X18 HDAL III H_S77_L002_R2_001_BHCYNTDSX2"	0.5820842476520562	0
"X1 HDAL V H_S78_L002_R1_001_BHCYNTDSX2"	0	0
"X1 HDAL V H_S78_L002_R2_001_BHCYNTDSX2"	0.35110627857258975	0
"X1 HDAL V A_S79_L002_R1_001_BHCYNTDSX2"	0.10296385624923793	0.10140515109125497
"X1 HDAL V A_S79_L002_R2_001_BHCYNTDSX2"	0.6581423645805026	0
"X3 HDAL V H_S80_L002_R1_001_BHCYNTDSX2"	0	0
"X3 HDAL V H_S80_L002_R2_001_BHCYNTDSX2"	0.5555914459136477	0
"X3 HDAL V A_S81_L002_R1_001_BHCYNTDSX2"	0	0
"X3 HDAL V A_S81_L002_R2_001_BHCYNTDSX2"	1.0559695331797216	0.254947904221948
"X4 HDAL V H_S82_L002_R1_001_BHCYNTDSX2"	0	0
"X4 HDAL V H_S82_L002_R2_001_BHCYNTDSX2"	0.3581445312559588	0
"X4 HDAL V A_S83_L002_R1_001_BHCYNTDSX2"	0.1778282749697237	0.11608039841058981
"X4 HDAL V A_S83_L002_R2_001_BHCYNTDSX2"	0.15487023323437274	0.3355097410187907
"X18 HDAL V H_S84_L002_R1_001_BHCYNTDSX2"	0	0
"X18 HDAL V H_S84_L002_R2_001_BHCYNTDSX2"	0.23292486511911586	0
"X18 HDAL V A_S85_L002_R1_001_BHCYNTDSX2"	0	0
"X18 HDAL V A_S85_L002_R2_001_BHCYNTDSX2"	0.33568952972516874	0
"X1 HDLI III H_S86_L002_R1_001_BHCYNTDSX2"	0	0
"X1 HDLI III H_S86_L002_R2_001_BHCYNTDSX2"	0.47582761642081806	0
"X1 HDLI III A_S87_L002_R1_001_BHCYNTDSX2"	0	0
"X1 HDLI III A_S87_L002_R2_001_BHCYNTDSX2"	0.32011340080727135	0
"X3 HDLI III H_S88_L002_R1_001_BHCYNTDSX2"	0	0
"X3 HDLI III H_S88_L002_R2_001_BHCYNTDSX2"	0.961196790018212	0
"X3 HDLI III A_S89_L002_R1_001_BHCYNTDSX2"	0	0
