Group	Stage	Tissue	Sample_id	Family	Mreads	>=Q30
HDAL	III	H	P20253_101	X1	47.64	94.77
HDAL	III	A	P20253_102	X1	27.40	94.41
HDAL	III	H	P20253_103	X3	42.67	94.22
HDAL	III	A	P20253_104	X3	26.60	93.53
HDAL	III	H	P20253_105	X4	30.47	93.41
HDAL	III	A	P20253_106	X4	45.44	94.46
HDAL	III	H	P20253_107	X18	41.88	94.53
#
HDAL	V	H	P20253_109	X1	62.65	94.35
HDAL	V	A	P20253_110	X1	34.71	95.05
HDAL	V	H	P20253_111	X3	34.47	94.16
HDAL	V	A	P20253_112	X3	47.46	93.69
HDAL	V	H	P20253_113	X4	42.61	94.16
HDAL	V	A	P20253_114	X4	46.35	94.94
HDAL	V	H	P20253_115	X18	47.98	94.86
HDAL	V	A	P20253_116	X18	42.62	94.74
#
HDAL	PMA	H	P20253_201	X1	45.33	93.96
HDAL	PMA	A	P20253_202	X1	22.67	93.12
HDAL	PMB	H	P20253_203	X1	51.23	93.98
HDAL	PMB	A	P20253_204	X1	41.15	93.68
HDAL	PM	H	P20253_205	X3	42.26	94.15
HDAL	PM	A	P20253_206	X3	44.47	93.61
HDAL	PM	H	P20253_207	X18	41.63	94.04
HDAL	PM	A	P20253_208	X18	45.41	94.32
HDAL	PF	H	P20253_209	X1	39.37	94.26
HDAL	PF	A	P20253_210	X1	41.32	93.54
HDAL	PF	H	P20253_211	X3	42.55	93.60
HDAL	PF	A	P20253_212	X3	39.39	94.38
HDAL	PF	H	P20253_213	X4	36.05	94.31
HDAL	PF	A	P20253_214	X4	35.21	94.12
HDAL	PF	H	P20253_215	X18	33.11	94.35
HDAL	PF	A	P20253_216	X18	40.81	94.10
#
HDAL	ADM	H	P20253_249	X1	49.83	93.77
HDAL	ADM	A	P20253_250	X1	47.04	94.31
HDAL	ADM	H	P20253_251	X18	49.49	93.38
HDAL	ADM	A	P20253_252	X18	63.51	93.18
HDAL	ADF	H	P20253_253	X1	51.48	94.08
HDAL	ADF	A	P20253_254	X1	47.23	93.54
HDAL	ADF	H	P20253_255	X3	50.41	93.66
HDAL	ADF	A	P20253_256	X3	45.45	93.82
HDAL	ADF	H	P20253_257	X18	45.79	93.89
HDAL	ADF	A	P20253_258	X18	52.31	94.30
#
HDLI	III	H	P20253_117	X1	57.01	94.01
HDLI	III	A	P20253_118	X1	61.18	94.78
HDLI	III	H	P20253_119	X3	42.51	93.45
HDLI	III	A	P20253_120	X3	68.98	94.01
HDLI	III	H	P20253_121	X4	30.20	93.65
HDLI	III	A	P20253_122	X4	32.38	93.81
HDLI	III	H	P20253_123	X18	32.78	93.92
HDLI	III	A	P20253_124	X18	31.29	93.70
#
HDLI	V	H	P20253_125	X1	22.56	93.78
HDLI	V	A	P20253_126	X1	33.04	94.63
HDLI	V	H	P20253_127	X3	32.59	93.85
HDLI	V	A	P20253_128	X3	60.87	93.55
HDLI	V	H	P20253_129	X4	33.47	93.59
HDLI	V	A	P20253_130	X4	37.54	94.47
HDLI	V	H	P20253_131	X18	31.45	94.26
HDLI	V	A	P20253_132	X18	33.28	93.70
#
HDLI	PM	H	P20253_217	X1	44.68	94.25
HDLI	PM	A	P20253_218	X1	55.89	94.40
HDLI	PM	H	P20253_219	X3	39.59	94.42
HDLI	PM	A	P20253_220	X3	62.16	93.91
HDLI	PM	H	P20253_221	X4	46.11	93.78
HDLI	PM	A	P20253_222	X4	81.52	93.35
HDLI	PM	H	P20253_223	X18	42.10	93.05
HDLI	PM	A	P20253_224	X18	46.66	93.68
HDLI	PF	A	P20253_226	X1	35.21	93.48
HDLI	PF	H	P20253_227	X3	46.25	94.20
HDLI	PF	A	P20253_228	X3	34.80	93.05
HDLI	PF	H	P20253_229	X4	37.05	93.49
HDLI	PF	A	P20253_230	X4	72.56	93.98
HDLI	PF	H	P20253_231	X18	31.87	94.05
HDLI	PF	A	P20253_232	X18	39.21	93.49
#
HDLI    ADM     H	P20253_169	X4	43.92   93.94
HDLI    ADM     A	P20253_170	X4	46.11   93.28
HDLI    ADM     H	P20253_171	X18     42.10   92.90
HDLI    ADM     A	P20253_172	X18     36.49   93.99
HDLI    ADF     H	P20253_173	X3	36.95   93.70
HDLI    ADF     H	P20253_175	X18     37.99   93.87
HDLI    ADF     A	P20253_176	X18     42.72   93.81
#
LDAL	III	H	P20253_133	X1	32.00	94.16
LDAL	III	A	P20253_134	X1	28.86	93.82
LDAL	III	H	P20253_135	X3	35.87	93.94
LDAL	III	A	P20253_136	X3	31.71	94.28
LDAL	III	H	P20253_137	X4	35.43	93.93
LDAL	III	A	P20253_138	X4	30.56	94.15
LDAL	III	H	P20253_139	X18	25.70	94.21
LDAL	III	A	P20253_140	X18	31.49	94.13
#
LDAL	V	H	P20253_141	X1	33.61	93.95
LDAL	V	A	P20253_142	X1	38.37	94.33
LDAL	V	H	P20253_143	X3	33.90	93.99
LDAL	V	A	P20253_144	X3	37.01	94.40
LDAL	V	H	P20253_145	X4	36.54	94.21
LDAL	V	A	P20253_146	X4	37.79	94.75
LDAL	V	H	P20253_147	X18	38.47	93.63
LDAL	V	A	P20253_148	X18	39.38	93.85
#
LDAL	PM	H	P20253_233	X1	50.19	93.78
LDAL	PM	A	P20253_234	X1	44.97	94.25
LDAL	PM	H	P20253_235	X3	44.63	94.04
LDAL	PM	A	P20253_236	X3	50.34	94.14
LDAL	PM	H	P20253_237	X4	37.93	93.52
LDAL	PM	H	P20253_239	X18	55.48	94.19
LDAL	PM	A	P20253_240	X18	44.42	93.61
LDAL	PF	H	P20253_241	X1	47.61	93.72
LDAL	PF	A	P20253_242	X1	86.06	94.36
LDAL	PF	H	P20253_243	X3	40.67	94.12
LDAL	PF	A	P20253_244	X3	55.74	93.38
LDAL	PF	H	P20253_245	X4	35.78	93.72
LDAL	PF	A	P20253_246	X4	56.51	93.91
LDAL	PF	H	P20253_247	X18	46.98	93.97
LDAL	PF	A	P20253_248	X18	35.39	94.20
#
LDAL	ADM	H	P20253_259	X1	49.34	93.66
LDAL	ADM	A	P20253_260	X1	24.92	93.53
LDAL	ADMA	H	P20253_261	X3	44.56	93.83
LDAL	ADMB	H	P20253_263	X3	49.13	93.79
LDAL	ADMB	A	P20253_264	X3	53.31	93.53
LDAL	ADM	H	P20253_265	X18	41.83	93.89
LDAL	ADM	A	P20253_266	X18	40.62	94.21
LDAL	ADF	H	P20253_267	X1	42.24	93.68
LDAL	ADF	A	P20253_268	X1	28.44	92.80
