ID,HDAL,InstarIII,InstarV,Pupa M,Pupa F,Adult M,Adult F,HDLI,InstarIII,InstarV,Pupa M,Pupa F,Adult M,Adult F,LDAL,InstarIII,InstarV,Pupa M,Pupa F,Adult M,Adult F,Comment
X1,10,X1HDALIII,X1HDALV,X1HDALPM (*2),X1HDALPF,X1HDALADM,X1HDALADF,10,X1HDLIIII,X1HDLIV,X1HDLIPM (*2),X1HDLIPF (*2),,X1HDLIADF,10,X1LDALIII,X1LDALV,X1LDALPM (*2),X1LDALPF (*2),X1LDALADM,X1LDALADF,
X2,,,,,,,,,,,,,,,,,,,,,,Too few?
X3,10,X3HDALIII,X3HDALV,X3HDALPM,X3HDALPF,,X3HDALADF,10,X3HDLIIII,X3HDLIV,X3HDLIPM,X3HDLIPF,,X3HDLIADF,10,X3LDALIII,X3LDALV,X3LDALPM,X3LDALPF,X3LDALADM (*2),X3LDALADF,
X4,10,X4HDALIII,X4HDALV,,X4HDALPF,,,10,X4HDLIIII,X4HDLIV,X4HDLIPM,X4HDLIPF,X4HDLIADM,,10,X4LDALIII,X4LDALV,X4LDALPM,X4LDALPF,,X4LDALADF,
X5,,,,,,,,,,,,,,,,,,,,,,Failed
X6,,,,,,,,,,,,,,,,,,,,,,Failed
X7,,,,,,,,,,,,,,,,,,,,,,Too few?
X8,,,,,,,,,,,,,,,,,,,,,,Too few?
X9,,,,,,,,,,,,,,,,,,,,,,Too few?
X10,,,,,,,,,,,,,,,,,,,,,,Failed
X11,,,,,,,,,,,,,,,,,,,,,,Failed
X12,,,,,,,,,,,,,,,,,,,,,,Failed
X13,,,,,,,,,,,,,,,,,,,,,,Failed
X14,,,,,,,,,,,,,,,,,,,,,,Failed
X15,,,,,,,,,,,,,,,,,,,,,,Failed
X16,,,,,,,,,,,,,,,,,,,,,,Failed
X17,,,,,,,,,,,,,,,,,,,,,,Failed
X18,10,X18HDALIII,X18HDALV,X18HDALPM,X18HDALPF,X18HDALADM,X18HDALADF,10,X18HDLIIII,X18HDLIV,X18HDLIPM,X18HDLIPF,X18HDLIADM,X18HDLIADF,10,X18LDALIII,X18LDALV,X18LDALPM,X18LDALPF,X18LDALADM,X18LDALADF,
X19,,,,,,,,,,,,,,,,,,,,,,Failed
X20,,,,,,,,,,,,,,,,,,,,,,Failed
HDAL = High Density Ad Libitum,,,,,,,,,,,,,,,,,,,,,,
LDAL = Low Density Ad Libitum,,,,,,,,,,,,,,,,,,,,,,
HDLI = High Density LImited,,,,,,,,,,,,,,,,,,,,,,
