"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"ko00980" "ko00980" "ko00980" "11/132" "107/14558" 3.30982329797223e-09 2.94574273519528e-07 2.22977569547603e-07 "Vcard_DToL16954/Vcard_DToL03156/Vcard_DToL15097/Vcard_DToL05461/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662/Vcard_DToL09834/Vcard_DToL17056/Vcard_DToL17057" 11
"ko05204" "ko05204" "ko05204" "10/132" "108/14558" 4.86003322472274e-08 2.16271478500162e-06 1.6370638230645e-06 "Vcard_DToL16954/Vcard_DToL15097/Vcard_DToL05461/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662/Vcard_DToL09834/Vcard_DToL17056/Vcard_DToL17057" 10
"ko00790" "ko00790" "ko00790" "7/132" "61/14558" 1.24675618322581e-06 3.69871001023658e-05 2.79973318338428e-05 "Vcard_DToL04448/Vcard_DToL16954/Vcard_DToL17429/Vcard_DToL05461/Vcard_DToL09834/Vcard_DToL17056/Vcard_DToL17057" 7
"ko00040" "ko00040" "ko00040" "8/132" "93/14558" 1.96948692328515e-06 4.38210840430946e-05 3.31703060763815e-05 "Vcard_DToL04448/Vcard_DToL03156/Vcard_DToL15097/Vcard_DToL17429/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 8
"ko00590" "ko00590" "ko00590" "6/132" "47/14558" 3.92424255871111e-06 6.98515175450577e-05 5.28740050015813e-05 "Vcard_DToL16954/Vcard_DToL00434/Vcard_DToL05461/Vcard_DToL09834/Vcard_DToL17056/Vcard_DToL17057" 6
"ko00053" "ko00053" "ko00053" "6/132" "77/14558" 6.93859263461257e-05 0.0010292245741342 0.000779070050202113 "Vcard_DToL06735/Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 6
"ko00250" "ko00250" "ko00250" "4/132" "39/14558" 0.000415348768180278 0.00528086290972068 0.00399734152835155 "Vcard_DToL01847/Vcard_DToL01848/Vcard_DToL11994/Vcard_DToL12491" 4
"ko00140" "ko00140" "ko00140" "5/132" "72/14558" 0.000488629093270823 0.00543599866263791 0.0041147713117543 "Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 5
"ko00860" "ko00860" "ko00860" "5/132" "78/14558" 0.000706028147835422 0.00666002178449128 0.00504129384041919 "Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 5
"ko00830" "ko00830" "ko00830" "5/132" "79/14558" 0.000748317054437223 0.00666002178449128 0.00504129384041919 "Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 5
"ko00983" "ko00983" "ko00983" "7/132" "168/14558" 0.000846855045429015 0.00685182718574385 0.00518648066100067 "Vcard_DToL12005/Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662/Vcard_DToL15486" 7
"ko00982" "ko00982" "ko00982" "5/132" "98/14558" 0.00196664110640014 0.0145859215391344 0.0110407921762815 "Vcard_DToL15097/Vcard_DToL06760/Vcard_DToL06761/Vcard_DToL09468/Vcard_DToL15662" 5
"ko01130" "ko01130" "ko01130" "8/132" "254/14558" 0.00220649887195997 0.0151060307388029 0.011434488081412 "Vcard_DToL04448/Vcard_DToL06735/Vcard_DToL07719/Vcard_DToL07968/Vcard_DToL17429/Vcard_DToL03596/Vcard_DToL01847/Vcard_DToL01848" 8
"ko01120" "ko01120" "ko01120" "7/132" "217/14558" 0.0036323502164895 0.0230913692333975 0.017478978485363 "Vcard_DToL04448/Vcard_DToL06735/Vcard_DToL17429/Vcard_DToL03596/Vcard_DToL07089/Vcard_DToL11994/Vcard_DToL12491" 7
