task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	c1/caba34	29817069	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (sample_sheet_test_1sam.csv)	COMPLETED	0	2022-09-17 23:24:47.285	1m 57s	1s	23.2%	3.2 MB	13.4 MB	1.5 MB	783 B
4	ae/0fb079	29817070	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GCA_905220365.1_ilVanCard2.1_genomic_chroms_masked.fna)	COMPLETED	0	2022-09-17 23:24:47.401	1m 57s	6s	45.8%	7.4 MB	43.7 MB	413.1 MB	6.5 KB
5	cf/f79bf8	29817067	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (GCA_905220365.1_ilVanCard2.1_genomic_chroms_masked.fna)	COMPLETED	0	2022-09-17 23:24:46.908	2m 1s	6s	63.3%	54.5 MB	66.5 MB	449.9 MB	35.1 MB
2	08/6f6186	29817071	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (vcard.gtf)	COMPLETED	0	2022-09-17 23:24:47.600	2m 1s	7s	88.1%	110.2 MB	133.3 MB	35.3 MB	1.5 MB
8	90/9041ed	29817075	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GCA_905220365.1_ilVanCard2.1_genomic_chroms_masked.fna)	COMPLETED	0	2022-09-17 23:26:48.337	2m 31s	13s	72.5%	92.4 MB	132.6 MB	485.5 MB	95.1 MB
1	e9/b25e6d	29817068	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (GCA_905220365.1_ilVanCard2.1_genomic_chroms_masked.fna)	COMPLETED	0	2022-09-17 23:24:47.097	4m 36s	2m 39s	437.6%	6.6 GB	9.2 GB	5.1 GB	6.6 GB
7	bd/02a036	29817073	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:FASTQC (LDAL_PF_A_4)	COMPLETED	0	2022-09-17 23:26:44.730	12m 28s	10m 5s	197.4%	1.5 GB	4.4 GB	8.2 GB	4.3 MB
6	91/aef5d1	29817074	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (LDAL_PF_A_4)	COMPLETED	0	2022-09-17 23:26:44.800	55m 13s	52m 46s	472.1%	3.1 GB	3.7 GB	256.8 GB	248.6 GB
9	86/72e04a	29817085	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (LDAL_PF_A_4)	COMPLETED	0	2022-09-18 00:21:58.932	2h 23m 45s	2h 20m 13s	1173.2%	10.1 GB	11.6 GB	80.6 GB	14.1 GB
10	93/040f62	29817098	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (LDAL_PF_A_4)	COMPLETED	0	2022-09-18 02:45:44.005	5m 49s	2m 39s	491.0%	2.3 GB	2.7 GB	4.9 GB	1.2 MB
12	22/db20fb	29817099	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_TX2GENE (vcard.gtf)	COMPLETED	0	2022-09-18 02:51:33.347	2m 15s	7s	75.7%	204.3 MB	215.9 MB	36.9 MB	658.4 KB
11	18/3cc130	29817097	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (LDAL_PF_A_4)	COMPLETED	0	2022-09-18 02:45:43.917	9m 9s	5m 11s	335.2%	5 GB	6 GB	13.5 GB	7.7 GB
14	52/5dda82	29817101	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (LDAL_PF_A_4)	COMPLETED	0	2022-09-18 02:54:53.506	3m 25s	36s	142.4%	14.2 MB	209.7 MB	3.4 GB	1.1 MB
13	75/5ae253	29817100	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_TXIMPORT	COMPLETED	0	2022-09-18 02:53:48.292	4m 50s	25s	85.0%	447.7 MB	1.4 GB	69.3 MB	4.2 MB
17	1b/bf8abf	29817105	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (LDAL_PF_A_4)	COMPLETED	0	2022-09-18 02:58:18.457	4m 55s	0ms	94.5%	1.6 MB	5.4 MB	1.2 MB	5.8 KB
19	00/005808	29817106	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (LDAL_PF_A_4)	COMPLETED	0	2022-09-18 02:58:19.269	5m 29s	36s	142.1%	3.4 MB	209.7 MB	3.4 GB	5.4 KB
